Name,Description,Category_Name
music facility,"Examples: concert-hall, opera house, bandstand, dancehall",RECREATION AND CULTURE
outdoor recreation,"Examples: park, campground, picnic area, hiking trail",RECREATION AND CULTURE
fair,"Examples: amusement park, county fairground",RECREATION AND CULTURE
monument/marker,"Examples: commemorative marker, commemorative monument",RECREATION AND CULTURE
work of art,"Examples: sculpture, carving, statue, mural, rock art",RECREATION AND CULTURE
processing,"Examples: meatpacking plant, cannery, smokehouse, brewery, winery, food processing site, gathering site, tobacco barn",AGRICULTURE/SUBSISTENCE
storage,"Examples: granary, silo, wine cellar, storage site, tobacco warehouse, cotton warehouse",AGRICULTURE/SUBSISTENCE
agricultural field,"Examples: pasture, vineyard, orchard, wheatfield, crop marks, stone alignments, terrace, hedgerow",AGRICULTURE/SUBSISTENCE
animal facility,"Examples: hunting & kill site, stockyard, barn, chicken coop, hunting corral, hunting run, apiary",AGRICULTURE/SUBSISTENCE
fishing facility or site,"Examples: fish hatchery, fishing grounds",AGRICULTURE/SUBSISTENCE
horticultural facility,"Examples: greenhouse, plant observatory, garden",AGRICULTURE/SUBSISTENCE
agricultural outbuilding,"Examples: wellhouse, wagon shed, tool shed, barn",AGRICULTURE/SUBSISTENCE
irrigation facility,"Examples: irrigation system, canals, stone alignments, headgates, check dams",AGRICULTURE/SUBSISTENCE
manufacturing facility,"Examples: mill, factory, refinery, processing plant, pottery kiln",INDUSTRY/PROCESSING/EXTRACTION
extractive facility,"Examples: coal mine, oil derrick, gold dredge, quarry, salt mine",INDUSTRY/PROCESSING/EXTRACTION
waterworks,"Examples: reservoir, water tower, canal, dam",INDUSTRY/PROCESSING/EXTRACTION
energy facility,"Examples: windmill, power plant, hydroelectric dam",INDUSTRY/PROCESSING/EXTRACTION
communications facility,"Examples: telegraph cable station, printing plant, television station, telephone company facility, satellite tracking station",INDUSTRY/PROCESSING/EXTRACTION
processing site,"Examples: shell processing site, toolmaking site, copper mining and processing site",INDUSTRY/PROCESSING/EXTRACTION
industrial storage,Examples: warehouse,INDUSTRY/PROCESSING/EXTRACTION
hospital,"Examples: veteran's medical center, mental hospital, private or public hospital, medical research facility",HEALTH CARE
clinic,"Examples: dispensary, doctor's office",HEALTH CARE
sanitarium,"Examples: nursing home, rest home, sanitarium",HEALTH CARE
medical business/office,"Examples: pharmacy, medical supply store, doctor or dentist's office",HEALTH CARE
resort,"Examples: baths, spas, resort facility",HEALTH CARE
arms storage,"Examples: magazine, armory",DEFENSE
fortification,"Examples: fortified military or naval post, earth fortified village, palisaded village, fortified knoll or mountain top, battery, bunker",DEFENSE
military facility,"Examples: military post, supply depot, garrison fort, barrack, military camp",DEFENSE
battle site,Examples: battlefield,DEFENSE
coast guard facility,"Examples: lighthouse, coast guard station, pier, dock, life-saving station",DEFENSE
naval facility,"Examples: submarine, aircraft carrier, battleship, naval base",DEFENSE
air facility,"Examples: aircraft, air base, missile launching site",DEFENSE
parking lot,Examples:,LANDSCAPE
park,"Examples: city park, State park, national park",LANDSCAPE
plaza,"Examples: square, green, plaza, public common",LANDSCAPE
garden,Examples:,LANDSCAPE
forest,Examples:,LANDSCAPE
unoccupied land,"Examples: meadow, swamp, desert",LANDSCAPE
underwater,Examples: underwater site,LANDSCAPE
natural feature,"Examples: mountain, valley, promontory, tree, river, island, pond, lake",LANDSCAPE
street furniture/object,"Examples: street light, fence, wall, shelter, gazebo, park bench",LANDSCAPE
conservation area,"Examples: wildlife refuge, ecological habitat",LANDSCAPE
rail-related,"Examples: railroad, train depot, locomotive, streetcar line, railroad bridge",TRANSPORTATION
air-related,"Examples: aircraft, airplane hangar, airport, launching site",TRANSPORTATION
water-related,"Examples: lighthouse, navigational aid, canal, boat, ship, wharf, shipwreck",TRANSPORTATION
road-related (vehicular),"Examples: parkway, highway, bridge, toll gate, parking garage",TRANSPORTATION
pedestrian-related,"Examples: boardwalk, walkway, trail",TRANSPORTATION
